"-"
"Aarflot, Andreas"
"A. A. V. V."
"AA. VV."
"AA.VV."
"Abascal Martínez, Jaime"
"Abascal Rojo, Víctor"
"Abascal, Víctor"
"Abass, Jobe"
"Abate, Antonio M."
"Abbas, Jobe"
"Abbass, Jobe"
"Abbass, Jobe J."
"Abbass, Jobe O.F.M Conv."
"'Abd al-Salam, Ga'far"
"Abel, Ralf B."
"Abel, Ralf"
"Abhulimen, Paul I."
"Aboi Rubio, Diego"
"Abraham"
"Abram, Elfriede"
"Abromeit, Hans-Jürgen"
"Abuda, Inocentes B."
"Accattoli, Luigi"
"Acciai, Riccardo"
"Accornero, Giuliana"
"Accornero, Guiliana"
"Acebal Lujan, Juan L."
"Acerbi, Antonio"
"Achacoso, Jaime B."
"Achacoso, Jaime E."
"Achenbach, Hans-Günter"
"Achilles, Wilhelm-Albrecht"
"Achinike, Emmanuel Chukwuma"
"Achour, Yadh Ben"
"Ackermann, Stephan"
"Acosta Sanabria, Rafael"
"Acquaviva, Anna"
"Acta Consilii"
"Acta Sanctae Sedis"
"Acta Santae Sedis"
"Acta Synodi Episcoporum"
"Acuña Guirola, Sara","1060697548"
"Ádám, Éva"
"Adami, Franco E."
"Adam, Konstanc, Miroslav"
"Adam, Miroslav"
"Adam, Miroslav K."
"Adamovich, Ludwig"
"Adamowicz, Leszek"
"Adam, Will"
"Addeo, Giuseppina"
"Adet, Rodrigo"
"Adnot, Roland"
"Adolfo"
"Adolfo, Zambon","173554636"
"Adolphe, Jane"
"AG Aachen"
"AG Aichbach"
"Agatep, Fredel G."
"AG Bad Bramstedt"
"Agbayi, Michael A."
"AG Berlin-Wedding"
"AG Bonn","7540033-9"
"AG Breisgau","10102305-4"
"AG Dessau"
"AG Dülmen"
"AG Düren"
"AG Düsseldorf","7786553-4"
"AG Esslingen","4477423-0"
"AG Frankfurt"
"AG Frankfurt a.M."
"AG Gera"
"AG Gießen","4806870-6"
"AG Göttingen",1041385080
"AG Grevenbroich","7777110-2"
"AG Halle","16248264-4"
"AG Hamburg"
"Agius, Joseph"
"AG Kassel","5204297-2"
"AG Kiel"
"AG Koblenz"
"AG Köln","4001800-3"
"AG Korbach"
"AG Landau i. d.  Pfalz","5066368-9"
"AG Landau i. d. Pfalz","5066368-9"
"AG Lübeck"
"AG Lüneburg"
"AG Meschede"
"AG Mönchengladbach","2088031-5"
"AG München","2060392-7"
"AG Münster"
"AG Nettetal"
"AG Neumarkt","1008866-0"
"AG Neuss"
"Agnew, John C."
"AG Öhringen"
"Agopszowicz, Antoni","103540334"
"Agosti, Guido"
"AG Paderborn","1086222245"
"AG Pirmansens"
"AG Potsdam"
"AG Regensburg"
"AG Rheinberg","1136573755"
"AG Saarlouis"
"AG Schlüchtern"
"AG Schorndorf"
"AG Schwetzingen"
"AG Tübingen"
"Agudo Crespo, Luis"
"Aguer, Héctor"
"Aguilós, Ramón S. B."
"Aguirre, Luis F."
"Agulla Gonzáles, Simón"
"Agustoni, Gilberto"
"AG Weilburg"
"AG Wittlich"
"AG Worms"
"Ahdar, Rex"
"Ahern, Maurice B."
"Ahlers, Reinhild"
"Ahuir Artal, José M."
"Aichern, Maximilian"
"Aiello, Martin"
"Aigner, Franz"
"Aigner, Maria E.","123521963"
"Aigner, Thomas"
"Aimone-Braida, Pier V."
"Aimone, Pier"
"Aimone, Pier V."
"Aisa, Goni","1057057843"
"Aixendri, Montserrat Gas"
"Akl, Antoine"
"Akpoghiran, Peter O."
"Alanisch Orthodoxe Eparchie"
"Alarcón, Mariano L.","1133387810 "
"Alawn, Hanna"
"Albanese, Emanuele"
"Albano, M."
"Alberigo, Giuseppe"
"Albers, Veritas"
"Albert, Gerhard"
"Albertini, Mario"
"Alberts, Hans W.","1081553537"
"Albiñana Garcia-Quintana, Cesar","122501462"
"Albisetti, Alessandro"
"Albo?a, Bekir"
"Albrecht, Alfred"
"Albrecht, Barbara","  1077916973"
"Albrecht, Christian"
"Alcón, José B."
"Aldanondo, Isabel","1137503572"
"Aldanondo Salaverría, María I.","1137503572"
"Alday, Josu M."
"Aldazabel, José"
"Aldeeb Abu-Sahlieh, Sami A."
"Alenda Salinas, Manuel","1056514604"
"Alesandro, John A."
"Alesandro, John"
"Alessio, Luis A."
"Alessio, Severino"
"Alfageme Sánchez, Vitaliano"
"Alfs, Rainer"
"Algermissen, Heinz-Josef","128691751"
"Algier, Élisabeth"
"Algorta del Castillo, Eduardo"
"Alicino, Francesco"
"Aliste Santos, Tomás J."
"Alivesi Sotgiu, Giuseppina"
"Al Kabalan, Rami"
"Al Kabala, Rami"
"Allard, Pierre"
"Allecey, Gladin"
"Allen, W. F."
"Alli Turrillas, Juan-Cruz"
"Almario, C. R."
"Almeida, Joaquim"
"Almeida Lopes, José J."
"Almeida Lopes, José Joaquim"
"Alonso, Álvaro González","1078791716"
"Alonso, Fermina Alvarez","1056330341"
"Alonso Pérez, José I."
"Alonso Pérez, José Ignacio"
"Alonso Rodriguez, Bernardo"
"Alonso Rodríguez, Bernardo"
"Alonso Secades, Vidal"
"Alonso, S. M."
"Aloor, Francis"
"Alphonso, Herbert"
"Althaus, Rüdiger"
"Alt-Katholische Kirche in Deutschland"
"Altmaier, Peter"
"Altmann, Angelika"
"Altmann, Walter"
"Altmeyer, Stefan"
"Altner, Helmut"
"Aluffi Beck-Peccoz, Roberta"
"Aluffi-Beck-Peccoz, Roberta"
"Àlvarez Avello, Santiago","137072104"
"Álvarez Cortina, Andrés-Corsino","1057183091"
"Álvarez de las Asturias, N."
"Álvarez de las Asturias, Nicolás"
"Álvarez de las Aturias, Nicolás"
"Álvarez de Toledo, Pedro"
"Alvarez Gomez, J."
"Alvarez, Gustavo"
"Álvarez Prieto, Luis"
"Alves Fernandes, Sílvia R."
"Alviar, José J."
"Alwan, Giovanni G."
"Alwan, Hanna"
"Alwan, Hanna G."
"Alwan, Ioannes G."
"Alwan, Joannes G."
"Alwast, Jendris","108346420"
"Alzate Monroy, Patricia","1056696931"
"Amann, Thomas","172959284"
"Amann, Thomas A.","172959284"
"Amat, Enrique"
"Amati, Angelo"
"Amato, Angelo"
"Ambros, Matthias"
"Amend, Guido"
"Amenta, Piero"
"Amenta, Pietro"
"Amherd, Moritz"
"Amin, Ismail"
"Amirpur, Katajun"
"Ammaikunnel, Joseph"
"Ammer, H."
"Ammerich, Hans"
"Ammer, Josef"
"Ammoich, Hans"
"Amor, Christoph J."
"Amores Carredano, Mariano"
"Amorós Prados, Javier"
"Amos, John"
"Amos, John R."
"Amtsgericht Monschau"
"Anandarayar, Antony"
"Anandrayar, Anthony"
"Anapliotis, Anargyros"
"Anaya, Luis Alfredo"
"Anaya Torres, Juan M.","173961215"
"Andereggen, Ignacio","105737430X"
"Anders, Fritz"
"Anderson, Carl A."
"Anders Winroth"
"Andrade Ordoñez, Joaquin"
"Andreas J."
"Andreas Otto"
"Andreini, Paolo"
"Andreotti, Aldo"
"Andrés, Domingo"
"Andrés, Domingo J."
"Andrés Gutiérrez, Domingo"
"Andrés Gutiérrez, Domingo J."
"Andrews, James E."
"Andriano, Valerio","110992366X"
"Andrick, Bernd"
"Andriessen, Alfons"
"Angel, Antón"
"Angel, Hans-Ferdinand"
"Angel, Hans-Gerd","171951387"
"Angel Marzoa, Rodríguez"
"Angel Ortiz, Miguel"
"Angelucci, Antonio"
"Angenendt, Arnold"
"Anglés, Ramón"
"Aniban, Francisco H."
"Anke, Hans U."
"Anke, Hans Ulrich"
"Anna Foa"
"An-Na'im, Abdullahi A."
"Anné, Lucien"
"Annoussamy, David"
"Annuß, Georg"
"Anslow, Thomas C."
"Antalóczy, Péter M."
"Anthonappa, Jerome R."
"Antoine, Jörg"
"Antoine, Philippe"
"Anton, Hans H."
"Antonio Marques, José"
"Antoniotti, Sr. Louise-Marie"
"Antoniou, Theodora"
"Antony, Alagu S."
"Anuth, Bernhard"
"Anuth, Bernhard S."
"Anuth, Bernhard Sven"
"Aouin, Marc"
"Aoun, Marc"
"Apaeicio Ruiz, María G."
"Aparicio, M. Germana"
"Aparicio Sánchez, Javier P."
"Apostolische Administratur Görlitz","1112635629"
"Apostolische Kirche in Italien"
"Apostolische Nuntiatur von den Vereinigten Staaten von Amerika"
"Apostolische Pönitentiarie","4335804-4"
"Apostolischer Administrator von Dresden"
"Apostolischer Administrator von Dresden-Meißen"
"Apostolischer Administrator von Freiburg"
"Apostolischer Administrator von Limburg"
"Apostolischer Administrator von Passau"
"Apostolischer Exarch der Apostolischen Exarchie für katholische Ukrainer des byzantinischen Ritus in Deutschland und Skandinavien"
"Apostolischer Nuntius"
"Apostolischer Nuntius in Deutschland"
"Apostolischer Pronuntius in den USA"
"Apostolischer Stuhl"
"Apostolischer Stuhl ex Audientia Sanctissimi"
"Apostolische Signatur"
"Appelsbacher, Matthäus"
"Appesbacher, Matthäus"
"Applewhite, Monica"
"Arabome, Anne"
"Aracendo, José M."
"Arakkal, Kurian"
"Aral, Guillaume"
"Arana Castellanos, Juan M."
"Araña, José A."
"Araña y Mesa, José A."
"Arance Maldonado, Bernardino"
"Arancibia, José María"
"Araneda, Carlos S."
"Aras, S."
"Arbeitsgruppe ""Institute des geweihten Lebens"", Konferenz der Ordensreferenten"
"ArbG Berlin"
"ArbG Bochum"
"ArbG Bremen"
"ArbG Celle"
"ArbG Darmstadt"
"ArbG Dortmund"
"ArbG Essen"
"ArbG Freiburg"
"ArbG Freiburg/Br."
"ArbG Hamburg","2146666-X"
"ArbG Hamm","1096766507"
"ArbG Herford"
"ArbG Herne"
"ArbG Iserlohn"
"ArbG Kassel"
"ArbG Köln","7842239-5"
"ArbG Krefeld"
"ArBG Ludwigshafen"
"ArbG Mainz"
"ArbG Möchengladbach"
"ArbG München"
"ArbG Münster"
"ArbG Oberhausen"
"ArbG Oldenburg"
"ArbG Paderborn"
"ArbG Passau"
"ArbG Regensburg"
"ArbG Reutlingen"
"ArbG Saarbrücken"
"ArbG Siegburg"
"ArbG Solingen"
"ArbG Stuttgart"
"ArbG Trier"
"ArbG Wuppertal"
"Arboleda Gonzalez, José G."
"Arce Almenara, José M."
"Arce Gargollo, Andrís"
"Archibald, John"
"Archidiocesis de Valencia"
"Arcisodalizio della Curia Romana"
"Ardagh, Walter"
"Ardito, Sabino"
"Areces, Maria T."
"Arechederra Aranzadi, Luis I."
"Areeckal, George"
"Areitio Arberas, María"
"Areitio María"
"Areitio, María"
"Arellano Cedillo, Alejandro"
"Arellano Cedillo, Alexander"
"Arellano, Fernando C."
"Arellano, Fernando Chica"
"Arena, Salvatore"
"Arens, Chistoph"
"Arens, Christop"
"Arens, Christoph"
"Arens, Edmund"
"Aretz, Jürgen"
"Argelich Casals, Francisco J."
"Arinze, Francis"
"Arizmendi Echecopar, Emilio Luis"
"Armbruster, Klemens"
"Armstrong, Christopher"
"Armstrong, Christopher R."
"Arnaldos Jiménez, Francisco J."
"Arnold, Claus"
"Arnold, John"
"Arnold, Thomas"
"Arntz, Klaus"
"Arocena Solano, Félix M."
"Aroh, Prudentius E."
"Arokiaraj, Michael X."
"Arokiaraj, Michaël X."
"Arokiaraj, Michaël X. L."
"Arokiaraj, Michaël X.L."
"Arokiaray, Michael X. L."
"Arooba Conde, Manuel J."
"Arragain, Jacques"
"Arranz, Miguel S.J."
"Arreta, Juan I."
"Arriera, Juan I."
"Arrieta, Di Juan Ignatio"
"Arrieta, Juan A."
"Arrieta, Juan Ignacio"
"Arrieta, Juan I."
"Arrieta, Luis J."
"Arrieta Ochoa de Chinchetru, José R."
"Arrieta Ochoa, Juan I."
"Arroba Conde, Manuel Jesús"
"Arroba Conde, Manuel J."
"Arroba Conde, Maunel J."
"Arroba Cone, Manuel J."
"Arroba Conte, Manuel J."
"Arru, Cristiana"
"Arru, Daniele"
"Arrupe, Pedro"
"Arslan, Hakki"
"Artiglieri, Emilio"
"Artner, Peter"
"Artola, Denise E."
"Arulsamy, Saverimuthu"
"Arza Arteaga, Antonio"
"Arzillo, Francesco"
"Ascheri, Mario"
"Aschoff, Hans-Georg"
"Asensio Sánchez, Miguel Á."
"Ashbrook Harvey, Susan"
"Ashe, Michael"
"Asiaín, Carmen"
"Aslan, Ednan"
"Aspe, Roberto"
"Asselin, Anne"
"Assenmacher, Günter"
"Assimakópulos Figueroa, Anastasía"
"Association for the rights of Catholics in the Church"
"Associazione Canonistica Italiana","5012408-0"
"Associazione caritá politica"
"Astigueta, Damain G."
"Astigueta, Damián G."
"Astigueta, Damián Guillermo"
"Astigueta, Damián"
