"Bischof von Aachen","Katholische Kirche. Diözese Aachen. Bischof (1975-1994: Hemmerle)","1193760097","1975-1994"
"Bischof von Aachen","Katholische Kirche. Diözese Aachen. Bischof (1995-2015: Mussinghof)","1193760135","1995-2015"
"Bischof von Aachen","Katholische Kirche. Diözese Aachen. Bischof (2016-: Dieser)","1193760321","2016-"
"Bischof von Augsburg","Katholische Kirche. Diözese Augsburg. Bischof (1963-1992: Stimpfle)","1193760402","1963-1992"
"Bischof von Augsburg","Katholische Kirche. Diözese Augsburg. Bischof (1993-2004: Dammertz)","1193760461","1993-2004"
"Bischof von Augsburg","Katholische Kirche. Diözese Augsburg. Bischof (2005-2010: Mixa)","119376050X","2005-2010"
"Bischof von Augsburg","Katholische Kirche. Diözese Augsburg. Bischof (2010-: Zdarsa)","1193760615","2011-"
"Erzbischof von Bamberg","Katholische Kirche. Erzdiözese Bamberg. Erzbischof (1977-1994: Kredel)","1193760704","1977-1994"
"Erzbischof von Bamberg","Katholische Kirche. Erzdiözese Bamberg. Erzbischof (1995-2001: Braun)","1193760755","1995-2001"
"Erzbischof von Bamberg","Katholische Kirche. Erzdiözese Bamberg. Erzbischof (2002-: Schick)","1193760801","2002-"
"Erzbischof von Berlin","Katholische Kirche. Erzdiözese Berlin. Erzbischof (1980-1989: Meisner)","119376114X","1980-1989"
"Erzbischof von Berlin","Katholische Kirche. Erzdiözese Berlin. Erzbischof (1989-1994: Sterzinsky)","1193761123","1990-1994"
"Erzbischof von Berlin","Katholische Kirche. Erzdiözese Berlin. Erzbischof (1994-2011: Sterzinsky)","1193761085","1995-2011"
"Erzbischof von Berlin","Katholische Kirche. Erzdiözese Berlin. Erzbischof (2011-2014: Woelki)","1193760917","2011-2014"
"Erzbischof von Berlin","Katholische Kirche. Erzdiözese Berlin. Erzbischof (2015-: Koch)","1193761050","2015-"
"Bischof von Dresden-Meißen","Katholische Kirche. Diözese Dresden-Meißen. Bischof (1970-1987: Schaffran)","1193932173","1970-1987"
"Bischof von Dresden-Meißen","Katholische Kirche. Diözese Dresden-Meißen. Bischof (1988-2012: Reinelt)","1193932300","1988-2012"
"Bischof von Dresden-Meißen","Katholische Kirche. Diözese Dresden-Meißen. Bischof (2013-2015: Koch)","119393253X","2013-2015"
"Bischof von Dresden-Meißen","Katholische Kirche. Diözese Dresden-Meißen. Bischof (2016-: Timmerevers)","1193932629","2016-"
"Bischof von Eichstätt","Katholische Kirche. Diözese Eichstätt. Bischof (1968-1983: Brems)","1193932777","1968-1983"
"Bischof von Eichstätt","Katholische Kirche. Diözese Eichstätt. Bischof (1984-1995: Braun)","1193932955","1984-1995"
"Bischof von Eichstätt","Katholische Kirche. Diözese Eichstätt. Bischof (1995-2005: Mixa)","1193933013","1996-2005"
"Bischof von Eichstätt","Katholische Kirche. Diözese Eichstätt. Bischof (2006-: Hanke)","1193933161","2006-"
"Bischof von Erfurt","Katholische Kirche. Diözese Erfurt. Bischof (1980-2012: Wanke)","1193935857","1980-2012"
"Bischof von Erfurt","Katholische Kirche. Diözese Erfurt. Bischof (2014-: Neymeyr)","1193937086","2014-"
"Bischof von Essen","Katholische Kirche. Diözese Essen. Bischof (1958-1991: Hengsbach)","1193937442","1958-1991"
"Bischof von Essen","Katholische Kirche. Diözese Essen. Bischof (1992-2002: Luthe)","1193937523","1992-2002"
"Bischof von Essen","Katholische Kirche. Diözese Essen. Bischof (2003-2009: Genn)","1193937612","2003-2009"
