18763503X,Ecclesiastical Law Journal
768578809,Justitia. Dharmaram Journal of Canon Law
167358952,KABI-A
167361929,KABI-M
167358944,KABI-PA
167358944,KABl PA
167358960,KABI-R
167358960,KABl R
129536806,KirchE Band
129536806,KircheE Band
186450966,Kirche und Recht
131172166,NZA
196280850,NZA-RR
129502901,RCD
130126128,ThG(B)
130156981,KABI HL
130156981,KABl HL
187613435,Anuario Argentino de Derecho Canonico
129067970,Cath(M)
129068594,Conc(D)
166771856,COst
129899291,Cristianesimo nella storia
233228799,Direito & Pastoral
166757527,EeT(O)
168323079,EsVe
637416457,ET studies
637416457,ET Studies
637416457,ET-studies
129644161,Forum katholische Theologie
130164313,Gewissen und Freiheit
167405233,KABl AC
170747123,KABl BK Österreich
170747123,KABl. BK Österreich
1431027952,KABl DDR Ausgabe GR
187777993,KABl Eisenstadt
187779694,KABl Feldkirch
187781095,KABl Graz
167737201,KABl Gurk
471688134,KABl Innsbruck
167559567,KABl Linz
167737228,KABl Salzburg
16777607X,KABl St. Pölten
167633406,KABl Wien
167359347,KABl. FD
16654583X,KABl. TR
16654583X,KABI TR
166748587,IThQ
328819700,KABI BA
166765988,KABI K
181986124,Kirche Heute
167348604,Kirchliches Amtsblatt der Erzdiözese Freiburg
170546411,Matrimonial Decisions of Great Britain and Ireland
131139088,MdKI
167405365,Pastoralblatt für die Diözesen Aachen
182190773,PrTh
516205404,Quaderni dello Studio
166621889,Quaderni di diritto e politica ecclesiastica
353607444,Rechtsgeschichte
129093963,Revue Theologique de Louvain
166756407,Rivista Liturgica
16675854X,Schweizerische Kirchenzeitung
165980540,The Canon Law Society of Great Britain an Ireland
165980540,The Canon Law Society of Great Britain and Ireland
166775312,The Priest
130126128,ThG
170318516,Vidyajyoti
166752398,VieCon
166758590,VitaCon
166783722,Verbum Societatis Verbi Divini
129556505,AAS,Acta Apostolicae Sedis : AAS_ commentarium officiale
166754048,Ang.,Angelicum : periodicum trimestre Pontificiae Studiorum Universitatis a Sancto Thoma Aquinate in
129542806,Anton.,Antonianum : periodicum trimestre Pontificiae Universitatis Antonianum de Urbe
166573736,AnzSS,Anzeiger für die Seelsorge : Zeitschrift für Pastoral und Gemeindepraxis
129515663,Apoll.,Apollinaris : commentarius Instituti Utriusque Juris
166756725,BEFil,Boletín eclesiástico de Filipinas : the official interdiocesan organ
129067970,Cath(M),Catholica : Vierteljahresschrift für ökumenische Theologie
166754870,Clar.,Claretianum : commentaria theologica opera et studio Instituti Theologiae Vitae Consecratae
166754595,CRM,Commentarium pro religiosis et missionariis : prodit quater in anno opera et studio Filiorum Cor
129068594,Conc(D),Concilium : internationale Zeitschrift für Theologie
129521108,Diak.,Diakonia : internationale Zeitschrift für die Praxis der Kirche
129070440,EThL,Ephemerides theologicae Lovanienses : ETL ; commentarii de re theologica et canonica ; tijdschrift uitgegeven met steun van de Universitaire Stichting en van de Regering = Louvain journal of theology and canon law / Katholieke Universiteit Leuven
166747653,EE,"Estudios eclesiásticos : revista trimestral de investigaciòn e informaciòn teològica, publ."
129644161,FKth,Forum Katholische Theologie : Vierteljahresschr. für d. Gesamtgebiet d. kathol. Theologie
130117722,FZPhTh,Freiburger Zeitschrift für Philosophie und Theologie
129073857,HerKorr,Herder-Korrespondenz : Monatsheft für Gesellschaft und Religion
129293075,IKaZ,Internationale katholische Zeitschrift Communio
129088897,IKZ,Internationale kirchliche Zeitschrift : IKZ
166501573,Jurist,The Jurist : studies in church law and ministry
129525790,KatBl,"Katechetische Blaetter : Zeitschrift für Religionsunterricht, Gemeindekatechese, kirchliche Jugendarbeit"
129079898,KuD,Kerygma und Dogma : Zeitschrift für theologische Forschung und kirchliche Lehre
16677104X,KABl S,Kirchliches Amtsblatt für die Diözese Rottenburg-Stuttgart
167462369,KlBl,Klerusblatt  : Zeitschrift der katholischen Geistlichen in Bayern und der Pfalz_ Organ
129305650,LS,Lebendige Seelsorge : Zeitschrift für praktisch-theologisches Handeln
129075183,LJ,Liturgisches Jahrbuch : LJ_ Vierteljahreshefte für Fragen des Gottesdienstes
129474339,MThZ,Münchener theologische Zeitschrift : MThZ
188086951,Not.,Notitiae / Congregatio de Cultu Divino et Disciplina Sacramentorum : commentarii ad nuntia et studia de re liturgica
16750553X,OrdKor,Ordenskorrespondenz : OK_ Zeitschrift für Fragen des Ordenslebens_ Organ der Deutschen Ordensobernkonferenz
170528383,PRMCL,Periodica de re canonica
166753521,PhilipSac,Philippiniana sacra
16675000X,REDC,Revista española de derecho canónico
187899762,Seminarium,"Seminarium : commentarii pro seminariis, vocationibus, ecclesiasticis, universitatibus et scholi"
12948590X,StZ,Stimmen der Zeit
16676115X,StCan,Studia canonica : revue canadienne de droit canonique
130126128,ThG(B),Theologie der Gegenwart : ThG_ Informationsorgan über wissenschaftl. u. prakt. Theologie
129480630,ThGl,Theologie und Glaube
129475564,ThPh,Theologie und Philosophie : Vierteljahresschrift
129497037,ThPQ,Theologisch-praktische Quartalschrift
129081191,ThLZ,Theologische Literaturzeitung : Monatsschrift für das gesamte Gebiet der Theologie und Religion
129497029,ThQ,Theologische Quartalschrift : ThQ
129487295,ThRv,Theologische Revue
129489670,ThR,Theologische Rundschau : ThR
129458791,TThZ,Trierer theologische Zeitschrift : Pastor bonus
129462330,US,Una Sancta : Zeitschrift für ökumenische Begegnung
166759066,UVK,Una-Voce-Korrespondenz : UVK
129458651,ZThK,Zeitschrift für Theologie und Kirche : ZThK
129458635,ZKTh,Zeitschrift für katholische Theologie
166438413,OR(D),L' osservatore romano : giornale quotidiano politico religioso. - Wochenausgabe in deutscher Sprache
129061514,AKathKR,Archiv für katholisches Kirchenrecht
16675966X,ED,Euntes docete
165931906,JC,Ius canonicum
301115710,ÖARR,Oesterreichisches Archiv für Recht und Religion
129458112,ZSRG.K,Zeitschrift der Savigny-Stiftung für Rechtsgeschichte. Kanonistische Abteilung
129473804,ZEvKR,Zeitschrift für evangelisches Kirchenrecht
129516937,ÖAKR,Österreichisches Archiv für Kirchenrecht
129502901,RDC,Revue de droit canonique
129524670,BMCL,Bulletin of medieval canon law
129537055,EJCan,Ephemerides iuris canonici
166496715,Dec,Il diritto ecclesiastico
186450966,KuR,Kirche & Recht : Zeitschrift für die kirchliche und staatliche Praxis
166514160,Acan,L' année canonique
166751383,ME,Monitor ecclesiasticus
16572076X,StGra,Studia Gratiana : post octava Decreti saecularia auctore consilio commemorationi Gratianae instruendae ed. Cur. Jos. Forchielli [u.a.]
